Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard,Month_num,Date
2000,Qtr 2,May,21,United States,Bae Jetstream,BAe Jetstream 3101 31N16EJ,near wilkes-barre pennsylvania,Airlines Executive,0,19,19,5,2000-05-21
2000,Qtr 2,May,25,Unknown,Airbus,Airbus A.330 301F,near manila philippines,Lines Air Philippine,0,1,298,5,2000-05-25
2000,Qtr 2,May,31,Unknown,Piper,Piper PA 31,off whyalla australia,Airlines Whyalla,0,8,8,5,2000-05-31
2000,Qtr 2,June,5,Unknown,Fokker,Fokker F 27 Friendship 600G,accra ghana,Airlink Ghana,0,7,52,6,2000-06-05
2000,Qtr 2,June,22,China,Xian Yunshuji,Xian Yunshuji Y 7,shitai china,Airlines Wuhan,7,44,44,6,2000-06-22
2000,Qtr 2,June,23,United States,Lear jet,Learjet 55N220JC,boca raton florida,Aviation Jet Universal,0,3,3,6,2000-06-23
2000,Qtr 2,June,27,Unknown,Kawasaki,Kawasaki C 1A88,off shimano japan,Force Self-Defence Air Japanese - Military,0,5,5,6,2000-06-27
2000,Qtr 3,July,2,Unknown,Gaf Nomad,GAF Nomad N 22CN286,off cagayancillo philippines,Force Air Philippine - Military,0,14,15,7,2000-07-02
2000,Qtr 3,July,8,Unknown,British Aerospace Bae Jetstream,British Aerospace  BAe Jetstream 32EPN912FJ,near villahermosa mexico,Aerocaribe,0,19,19,7,2000-07-08
2000,Qtr 3,July,9,Unknown,Curtiss,Curtiss C 46A,villavicencio colombia,Colombia CORAL,0,13,19,7,2000-07-09
2000,Qtr 3,July,13,Unknown,De Havilland,de Havilland Canada DHC 6 Twin Otter 200N201RH,raleigh north,Aviation Win CarolinaWin,0,1,3,7,2000-07-13
2000,Qtr 3,July,17,India,Boeing,Boeing B 737,patna india,Airlines Airlines/Alliance Indian,5,55,58,7,2000-07-17
2000,Qtr 3,July,19,United States,Grumman,Grumman G 159 Gulfstream IC,linneus maine,Transport Airwave,0,2,2,7,2000-07-19
2000,Qtr 3,July,20,Unknown,Douglas,Douglas C 47A,nassau bahamas,Freight Air Allied,0,2,2,7,2000-07-20
2000,Qtr 3,July,21,United States,Aerospatiale,Aerospatiale AS355 F1N510TG,maui hawaii,Helicopters Hawaiian Blue,0,7,7,7,2000-07-21
2000,Qtr 3,July,25,Unknown,Aerospatiale,Aerospatiale BAe Concorde 101F BTSC,gonesse france,France Air,4,109,109,7,2000-07-25
2000,Qtr 3,July,26,Unknown,Lockheed,Lockheed C 130H Hercules348,mafraq jordan,Force Air Jordanian Royal - Military,0,13,13,7,2000-07-26
2000,Qtr 3,July,27,Unknown,De Havilland,de Havilland Canada DHC 6 Twin Otter 3009N,jodhura nepal,Airlines Nepal Royal,0,25,25,7,2000-07-27
2000,Qtr 3,August,2,Brazil,Sikorsky,Sikorsky S 76PT,cubatao brazil,Taxi Air Lider - taxi Air,0,6,6,8,2000-08-02
2000,Qtr 3,August,6,Unknown,Casa,Casa 212 AB10 Aviocar230,puerto montt chile,Chile de Aérea Fuerza - Military,0,14,14,8,2000-08-06
2000,Qtr 3,August,9,Unknown,Piper Navajo,Piper Navajo PA 31/ Piper Seminole PA,burlington township new,Private / Airways JerseyPatuxent,0,11,11,8,2000-08-09
2000,Qtr 3,August,12,Unknown,Antonov,Antonov AN 26B9Q,near tshikapa congo,Air Staer,0,27,27,8,2000-08-12
2000,Qtr 3,August,23,Unknown,Airbus,Airbus A320 212A4O,off manama bahrain,Air Gulf,0,143,143,8,2000-08-23
2000,Qtr 3,September,2,Unknown,Douglas,Douglas C 47FAC1659,mount montezuma colombia,Colombiana Aérea Fuerza - Military,0,7,7,9,2000-09-02
2000,Qtr 3,September,4,Unknown,Beechcraft Ska,Beechcraft SKA 200VH SKC,near burketown australia,Air Central - Charter,0,8,8,9,2000-09-04
2000,Qtr 3,September,16,Unknown,Mil,Mil Mi 17,kumarapura sri,Force Air Lanka Sri - LankaMilitary,0,14,14,9,2000-09-16
2000,Qtr 4,October,6,Unknown,McDonnell Douglas,McDonnell Douglas DC 9,reynosa mexico,Aeromexico,4,0,88,10,2000-10-06
2000,Qtr 4,October,8,Unknown,Shorts Sc.7 Skyvan,Shorts SC.7 Skyvan 3 100C,port radium northwest,Canada          Territories Summit Air Charters,0,3,3,10,2000-10-08
2000,Qtr 4,October,10,United States,Canadair,Canadair CL 600,wichita kansas,Aerospace Bombardier,0,2,3,10,2000-10-10
